procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 255900   3332 289904    0    0     0     0  111  245  0  3 97  0  0
 0  0      0 255900   3332 289904    0    0     0     0  111  236  0  1 99  0  0
 1  0      0 255900   3332 289904    0    0     0     4  106  228  0  3 97  0  0
 0  0      0 255900   3332 289904    0    0     0     0  105  225  0  2 98  0  0
 0  0      0 255900   3332 289904    0    0     0     0   96  226  0  0 100  0  0
 0  0      0 255900   3332 289904    0    0     0     0  106  244  0  1 99  0  0
 0  0      0 255900   3332 289904    0    0     0     0  100  237  0  3 97  0  0
 0  0      0 255900   3332 289904    0    0     0     0  104  239  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 255900   3332 289904    0    0     0    27  102  239  0  1 99  0  0
 0  0      0 255900   3332 289904    0    0     0     0  114  254  0  2 98  0  0
 1  0      0 255900   3332 289904    0    0     0     0   99  233  0  0 100  0  0
 0  0      0 255900   3332 289904    0    0     0     7  124  255  0  3 97  0  0
 0  0      0 255900   3332 289904    0    0     0     0  102  237  0  2 98  0  0
 0  0      0 255900   3332 289904    0    0     0     0  110  239  0  1 99  0  0
 0  0      0 255900   3332 289904    0    0     0     0  104  227  0  3 97  0  0
 0  0      0 255900   3332 289904    0    0     0     0  108  233  1  3 96  0  0
 0  0      0 255900   3332 289912    0    0     0     0  102  237  0  2 98  0  0
 1  0      0 255900   3332 289912    0    0     0     8  114  246  0  3 97  0  0
 0  0      0 255900   3332 289912    0    0     0     0  114  237  0  2 98  0  0
 1  0      0 255900   3332 289912    0    0     0     0  115  241  0  4 96  0  0
 0  0      0 255900   3332 289912    0    0     0     0  100  229  0  0 100  0  0
 0  0      0 255900   3332 289912    0    0     0     0  104  232  0  1 99  0  0
 1  0      0 255900   3332 289912    0    0     0     0   97  230  0  2 98  0  0
 0  0      0 255900   3332 289912    0    0     0     0  102  225  0  1 99  0  0
 1  0      0 255900   3332 289912    0    0     0     0  105  230  0  1 99  0  0
 1  0      0 255900   3332 289912    0    0     0     0   98  230  0  2 98  0  0
 0  0      0 255900   3332 289912    0    0     0     0  103  232  0  1 99  0  0
 0  0      0 255900   3332 289912    0    0     0     0  104  227  0  2 98  0  0
 1  0      0 255900   3332 289912    0    0     0     0  104  235  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 255900   3332 289912    0    0     0     0  115  246  1  4 95  0  0
 0  0      0 255900   3332 289912    0    0     0     0  107  228  0  2 98  0  0
 0  0      0 255900   3332 289912    0    0     0     0  116  241  0  3 97  0  0
 1  0      0 255900   3332 289912    0    0     0     0  106  236  0  2 98  0  0
 1  0      0 255900   3332 289912    0    0     0     0  115  251  0  3 97  0  0
 0  0      0 255900   3332 289912    0    0     0     0  106  232  0  3 97  0  0
 0  0      0 255900   3332 289912    0    0     0     0  107  243  0  1 99  0  0
 0  0      0 255900   3332 289912    0    0     0     0  103  228  0  2 98  0  0
 1  0      0 255900   3332 289912    0    0     0     0  109  239  0  3 97  0  0
 0  0      0 255900   3332 289912    0    0     0     5  114  248  0  3 97  0  0
 0  0      0 255900   3332 289912    0    0     0     1  118  254  0  1 99  0  0
 4  0      0 255900   3332 289912    0    0     0     0  103  232  0  2 98  0  0
 1  0      0 255900   3332 289912    0    0     0     0  109  227  0  4 96  0  0
 0  0      0 255900   3332 289912    0    0     0     0  105  232  0  3 97  0  0
 0  0      0 255900   3332 289912    0    0     0     0  110  242  0  2 98  0  0
 0  0      0 255900   3332 289912    0    0     0     0  111  233  0  4 96  0  0
 0  0      0 255900   3332 289912    0    0     0     0  115  241  0  2 98  0  0
 0  0      0 255900   3332 289912    0    0     0     0  108  230  0  4 96  0  0
 0  0      0 255900   3332 289912    0    0     0     0  104  229  0  2 98  0  0
 0  0      0 255900   3332 289912    0    0     0     8  120  237  0  3 97  0  0
 0  0      0 255900   3332 289912    0    0     0     0  110  247  0  4 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 255900   3332 289912    0    0     0     0  113  233  0  3 97  0  0
 0  0      0 255900   3332 289912    0    0     0     0  111  243  0  2 98  0  0
 1  0      0 255900   3332 289912    0    0     0     0  111  233  0  3 97  0  0
 1  0      0 255900   3332 289912    0    0     0     0   99  226  0  2 98  0  0
 0  0      0 255900   3332 289912    0    0     0     0  108  236  0  3 97  0  0
 0  0      0 255900   3332 289912    0    0     0     0  104  229  0  3 97  0  0
 1  0      0 255900   3332 289912    0    0     0     0  106  237  0  3 97  0  0
 0  0      0 255900   3332 289912    0    0     0     0  100  228  0  3 97  0  0
 0  0      0 255900   3332 289912    0    0     0     0  106  232  0  2 98  0  0
 0  0      0 255900   3332 289912    0    0     0     0  105  241  0  4 96  0  0
 0  0      0 255900   3332 289912    0    0     0     0  105  235  0  1 99  0  0
 0  0      0 255900   3332 289912    0    0     0     0  110  239  0  3 97  0  0
 0  0      0 255840   3332 289920    0    0     0     0  110  243  0  4 96  0  0
 1  0      0 255840   3332 289920    0    0     0     0  106  231  0  2 98  0  0
 0  0      0 255840   3332 289920    0    0     0     0  102  226  0  2 98  0  0
 0  0      0 255840   3332 289920    0    0     0     0  104  228  0  4 96  0  0
 0  0      0 255840   3332 289920    0    0     0     0  113  244  0  2 98  0  0
 0  0      0 255840   3332 289920    0    0     0     0  108  229  0  3 97  0  0
 2  0      0 255840   3332 289920    0    0     0     0  111  246  0  2 98  0  0
 3  0      0 255840   3332 289920    0    0     0    51  108  240  0  4 96  0  0
 0  0      0 255840   3332 289920    0    0     0     0  108  233  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 255840   3332 289920    0    0     0     0  117  240  0  3 97  0  0
